"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UPM00033345","KIEV, UP","1970-01-01","0.13",,"-1","11","-9"
"UPM00033345","KIEV, UP","1970-01-02","0.37",,"28","34","11"
"UPM00033345","KIEV, UP","1970-01-03","0.27",,"22","32","16"
"UPM00033345","KIEV, UP","1970-01-04","0.00",,"22","31","15"
"UPM00033345","KIEV, UP","1970-01-05","0.00",,"28","37","20"
"UPM00033345","KIEV, UP","1970-01-06","0.02",,"37","38","35"
"UPM00033345","KIEV, UP","1970-01-07","0.02",,"33","36","31"
"UPM00033345","KIEV, UP","1970-01-08","0.12",,"32","35","26"
"UPM00033345","KIEV, UP","1970-01-09","0.03",,"20","26","17"
"UPM00033345","KIEV, UP","1970-01-10","0.01",,"15","19","11"
"UPM00033345","KIEV, UP","1970-01-11","0.00",,"16","23","9"
"UPM00033345","KIEV, UP","1970-01-12","0.02",,"26","29","23"
"UPM00033345","KIEV, UP","1970-01-13","0.00",,"29","31","27"
"UPM00033345","KIEV, UP","1970-01-14","0.00",,"33","35","31"
"UPM00033345","KIEV, UP","1970-01-15","0.00",,"35","37","34"
"UPM00033345","KIEV, UP","1970-01-16","0.00",,"35","37","34"
"UPM00033345","KIEV, UP","1970-01-17","0.72",,"30","35","21"
"UPM00033345","KIEV, UP","1970-01-18","1.02",,"21","24","20"
"UPM00033345","KIEV, UP","1970-01-19","0.04",,"19","22","17"
"UPM00033345","KIEV, UP","1970-01-20","0.02",,"18","21","16"
"UPM00033345","KIEV, UP","1970-01-21","0.03",,"19","21","18"
"UPM00033345","KIEV, UP","1970-01-22","0.01",,"18","21","16"
"UPM00033345","KIEV, UP","1970-01-23","0.07",,"21","24","17"
"UPM00033345","KIEV, UP","1970-01-24","0.00",,"19","25","13"
"UPM00033345","KIEV, UP","1970-01-25","0.00",,"19","23","17"
"UPM00033345","KIEV, UP","1970-01-26","0.00",,"18","22","17"
"UPM00033345","KIEV, UP","1970-01-27","0.00",,"22","27","18"
"UPM00033345","KIEV, UP","1970-01-28","0.18",,"30","35","26"
"UPM00033345","KIEV, UP","1970-01-29","0.08",,"21","31","11"
"UPM00033345","KIEV, UP","1970-01-30","0.05",,"0","12","-5"
"UPM00033345","KIEV, UP","1970-01-31","0.00",,"-4","8","-13"
"UPM00033345","KIEV, UP","1970-02-01","0.00",,"3","17","-4"
"UPM00033345","KIEV, UP","1970-02-02","0.00",,"9","24","1"
"UPM00033345","KIEV, UP","1970-02-03","0.00",,"14","22","5"
"UPM00033345","KIEV, UP","1970-02-04","0.13",,"30","35","20"
"UPM00033345","KIEV, UP","1970-02-05","0.00",,"36","41","34"
"UPM00033345","KIEV, UP","1970-02-06","0.48",,"32","36","31"
"UPM00033345","KIEV, UP","1970-02-07","0.00",,"26","33","21"
"UPM00033345","KIEV, UP","1970-02-08","0.00",,"22","31","13"
"UPM00033345","KIEV, UP","1970-02-09","0.17",,"32","38","29"
"UPM00033345","KIEV, UP","1970-02-10","0.09",,"34","40","28"
"UPM00033345","KIEV, UP","1970-02-11","0.00",,"33","37","31"
"UPM00033345","KIEV, UP","1970-02-12","0.00",,"21","32","13"
"UPM00033345","KIEV, UP","1970-02-13","0.00",,"12","21","6"
"UPM00033345","KIEV, UP","1970-02-14","0.45",,"28","34","14"
"UPM00033345","KIEV, UP","1970-02-15","0.24",,"25","36","17"
"UPM00033345","KIEV, UP","1970-02-16","0.06",,"31","36","21"
"UPM00033345","KIEV, UP","1970-02-17","0.01",,"17","21","12"
"UPM00033345","KIEV, UP","1970-02-18","0.01",,"13","19","8"
"UPM00033345","KIEV, UP","1970-02-19","0.00",,"15","24","7"
"UPM00033345","KIEV, UP","1970-02-20","0.10",,"16","19","12"
"UPM00033345","KIEV, UP","1970-02-21","0.09",,"18","22","15"
"UPM00033345","KIEV, UP","1970-02-22","0.02",,"20","26","17"
"UPM00033345","KIEV, UP","1970-02-23","0.46",,"25","31","19"
"UPM00033345","KIEV, UP","1970-02-24","1.31",,"33","33","30"
"UPM00033345","KIEV, UP","1970-02-25","0.17",,"29","32","26"
"UPM00033345","KIEV, UP","1970-02-26","0.28",,"23","27","20"
"UPM00033345","KIEV, UP","1970-02-27","0.30",,"25","27","22"
"UPM00033345","KIEV, UP","1970-02-28","0.29",,"29","32","23"
"UPM00033345","KIEV, UP","1970-03-01","0.05",,"25","28","23"
"UPM00033345","KIEV, UP","1970-03-02","0.01",,"26","30","22"
"UPM00033345","KIEV, UP","1970-03-03","0.02",,"26","33","19"
"UPM00033345","KIEV, UP","1970-03-04","0.01",,"34","37","31"
"UPM00033345","KIEV, UP","1970-03-05","0.05",,"35","38","33"
"UPM00033345","KIEV, UP","1970-03-06","0.00",,"36","39","34"
"UPM00033345","KIEV, UP","1970-03-07","0.01",,"34","37","32"
"UPM00033345","KIEV, UP","1970-03-08","0.05",,"32","34","31"
"UPM00033345","KIEV, UP","1970-03-09","0.00",,"28","31","24"
"UPM00033345","KIEV, UP","1970-03-10","0.00",,"27","35","20"
"UPM00033345","KIEV, UP","1970-03-11","0.00",,"26","34","17"
"UPM00033345","KIEV, UP","1970-03-12","0.14",,"27","30","23"
"UPM00033345","KIEV, UP","1970-03-13","0.13",,"32","35","29"
"UPM00033345","KIEV, UP","1970-03-14","0.04",,"33","37","31"
"UPM00033345","KIEV, UP","1970-03-15","0.00",,"32","35","30"
"UPM00033345","KIEV, UP","1970-03-16","0.10",,"33","36","30"
"UPM00033345","KIEV, UP","1970-03-17","0.00",,"31","37","26"
"UPM00033345","KIEV, UP","1970-03-18","0.00",,"30","40","21"
"UPM00033345","KIEV, UP","1970-03-19","0.02",,"38","44","35"
"UPM00033345","KIEV, UP","1970-03-20","0.09",,"37","41","35"
"UPM00033345","KIEV, UP","1970-03-21","0.03",,"36","42","30"
"UPM00033345","KIEV, UP","1970-03-22","0.00",,"36","40","34"
"UPM00033345","KIEV, UP","1970-03-23","0.00",,"37","44","29"
"UPM00033345","KIEV, UP","1970-03-24","0.08",,"39","42","35"
"UPM00033345","KIEV, UP","1970-03-25","0.05",,"33","35","30"
"UPM00033345","KIEV, UP","1970-03-26","0.09",,"36","40","33"
"UPM00033345","KIEV, UP","1970-03-27","0.00",,"35","43","30"
"UPM00033345","KIEV, UP","1970-03-28","0.20",,"33","35","31"
"UPM00033345","KIEV, UP","1970-03-29","0.09",,"35","43","29"
"UPM00033345","KIEV, UP","1970-03-30","0.00",,"34","39","28"
"UPM00033345","KIEV, UP","1970-03-31","0.00",,"44","53","35"
"UPM00033345","KIEV, UP","1970-04-01","0.00",,"48","59","38"
"UPM00033345","KIEV, UP","1970-04-02","0.00",,"44","51","38"
"UPM00033345","KIEV, UP","1970-04-03","0.19",,"45","51","40"
"UPM00033345","KIEV, UP","1970-04-04","0.09",,"46","50","40"
"UPM00033345","KIEV, UP","1970-04-05","0.00",,"40","49","33"
"UPM00033345","KIEV, UP","1970-04-06","0.00",,"40","50","33"
"UPM00033345","KIEV, UP","1970-04-07","0.00",,"42","51","34"
"UPM00033345","KIEV, UP","1970-04-08","0.00",,"49","60","39"
"UPM00033345","KIEV, UP","1970-04-09","0.29",,"44","53","41"
"UPM00033345","KIEV, UP","1970-04-10","0.03",,"52","63","45"
"UPM00033345","KIEV, UP","1970-04-11","0.00",,"52","64","41"
"UPM00033345","KIEV, UP","1970-04-12","0.53",,"49","57","47"
"UPM00033345","KIEV, UP","1970-04-13","0.61",,"43","49","37"
"UPM00033345","KIEV, UP","1970-04-14","0.03",,"41","48","36"
"UPM00033345","KIEV, UP","1970-04-15","0.00",,"39","42","35"
